;data;cidade;estado;formato
0;9/30/97 22:00;Madison;WI;Light
1;9/28/97 23:15;San Francisco;CA;Triangle
2;9/27/97 23:00;Egan;SD;Other
3;9/27/97 05:00;Crestwood;KY;Disk
4;9/25/97 22:00;Clearfield;UT;Triangle
5;9/24/97 14:30;Muskegon;MI;Disk
6;9/23/97 22:30;Brewster;NY;Triangle
7;9/23/97 20:00;Hyde Park;VT;Fireball
8;9/23/97 20:00;Rhinebeck (south of);NY;Triangle
9;9/23/97 19:00;Denison;IA;Disk
10;9/22/97 20:00;Solomons Island;MD;Disk
11;9/22/97 14:00;Palo;MI;Cigar
12;9/22/97 03:00;St. Louis;MO;Other
13;9/21/97 14:00;Manoa Valley (Honolulu);HI;Disk
14;9/20/97 22:15;Poway;CA;Triangle
15;9/19/97 22:00;Crescent City (80 miles west of);CA;Disk
16;9/19/97 05:40;Orland Park;IL;Rectangle
17;9/19/97;Garden Grove;CA;Rectangle
18;9/18/97 04:15;West Manchester;OH;Changing
19;9/17/97 18:00;Delilah Lookout (Sequoia N F);CA;Disk
20;9/16/97 19:00;Minneapolis;MN;Other
21;9/16/97 04:00;Woodmont;CT;Disk
22;9/15/97 00:00;Houston;TX;Disk
23;9/15/97 22:30;Woodstock;CT;Sphere
24;9/15/97 22:00;West Milton (north of);OH;Light
25;9/15/97 21:00;Chicago;IL;Light
26;9/15/97 20:00;Santa Fe;NM;Light
27;9/15/97 20:00;Kent;WA;Sphere
28;9/15/97 20:00;Salem;OR;Light
29;9/15/97 20:00;Angola;IN;Circle
30;9/15/97 19:00;Wedgefield;SC;Triangle
31;9/15/97 18:00;Farrell;PA;Disk
32;9/15/97 17:00;Comfort;TX;Cylinder
33;9/15/97 15:00;Colorado Springs;CO;Rectangle
34;9/15/97 09:00;Sherman Oaks;CA;Cigar
35;9/10/97 19:00;Alta Loma;CA;Circle
36;9/9/97 21:30;Roseburg;OR;Light
37;9/9/97 16:00;Las Vegas;NV;Formation
38;9/7/97 12:00;Gulf of Mexico;LA;Cigar
39;9/6/97 04:47;Covington;WA;Triangle
40;9/2/97 21:45;Portland;OR;Formation
41;9/1/97 23:00;Albany;ME;Light
42;9/1/97 22:30;Carlsbad;CA;Light
43;9/1/97 20:00;Pleasant View;TN;Fireball
44;9/1/97 18:00;Woodmont;CT;Disk
45;10/31/97 22:18;Santa Ana;CA;Light
46;10/31/97 10:00;El Paso;TX;Other
47;10/31/97 00:00;Nocona;TX;Sphere
48;10/30/97 07:30;Pittsburgh;PA;Disk
49;10/30/97 00:00;Ophir Mountain;UT;Circle
50;10/29/97 19:00;Childress (North of);TX;Sphere
51;10/29/97 19:00;Childress (approx 20 miles north of;TX;Light
52;10/29/97 16:30;Glen Alpine;NC;Light
53;10/28/97 18:45;Willow Springs;MO;Triangle
54;10/26/97 22:00;Charlotte;NC;Triangle
55;10/24/97 20:42;Fairfield;CA;Sphere
56;10/23/97 21:00;Orlando;FL;Other
57;10/22/97 15:00;Milford;CA;Disk
58;10/21/97 22:00;Bluff;UT;Light
59;10/21/97 18:45;Norristown;PA;Circle
60;10/20/97 20:00;Round Rock;TX;Diamond
61;10/20/97 19:30;South of Kalamath Falls,;OR;Formation
62;10/20/97 08:45;Gig Harbor;WA;Light
63;10/19/97 02:00;Attleboro;MA;Light
64;10/17/97 20:00;Ignacio;CO;Triangle
65;10/16/97 19:05;Hollister;CA;Light
66;10/16/97 05:34;Hickory;NC;Fireball
67;10/16/97 01:30;Jacksonville;FL;Sphere
68;10/15/97 23:30;Deer Grove;IL;Triangle
69;10/15/97 22:00;Alvarado;TX;Chevron
70;10/15/97 22:00;Freeport;IL;Flash
71;10/15/97 21:30;Waldorf;MD;Light
72;10/15/97 20:45;Stephenville;TX;Circle
73;10/15/97 20:00;Bladen;NE;Sphere
74;10/15/97 20:00;Westfeild;WI;Light
75;10/15/97 20:00;Rosburg;WA;Triangle
76;10/15/97 19:00;Boulder;CO;Triangle
77;10/15/97 19:00;Shark River Hills;NJ;Triangle
78;10/15/97 18:40;Abingdon;VA;Light
79;10/15/97 17:30;Daggett;CA;Rectangle
80;10/15/97 17:00;New Britain (?);CT;Rectangle
81;10/15/97 15:00;New York City (Staten Island);NY;Cylinder
82;10/15/97 10:00;Dallas;TX;Light
83;10/15/97 07:00;Pasadena;CA;Oval
84;10/15/97 03:00;Brigham City (west of);UT;Other
85;10/15/97 03:00;Atlanta (north of);GA;Light
86;10/15/97 03:00;Lagrange;NC;Fireball
87;10/15/97 01:00;Paris;TN;Light
88;10/15/97;Naalehu;HI;Sphere
89;10/14/97 23:55;San Diego;CA;Light
90;10/13/97 22:15;Hollister;CA;Light
91;10/13/97 20:15;Reno;NV;Other
92;10/13/97 05:00;Ogden/Clinton;UT;Circle
93;10/13/97;Sandy;UT;Light
94;10/12/97 23:00;Franklin;NH;Other
95;10/12/97 22:30;Chicago;IL;Light
96;10/12/97 21:51;Kenner (34th St.);LA;Disk
97;10/12/97 18:30;Huntington Beach;CA;Sphere
98;10/10/97 21:00;Austin;MN;Other
99;10/10/97 20:00;Bonaire;GA;Triangle
100;10/10/97 17:00;Mesa;AZ;Sphere
101;10/9/97 11:40;Camarillo;CA;Circle
102;10/7/97 03:26;MM82/MM83 (between, on I-80);PA;Circle
103;10/5/97 20:30;Utica;NY;Light
104;10/5/97 19:00;Cheyenne;WY;Other
105;10/4/97 18:00;Warrenton;VA;Light
106;10/4/97 01:57;Scottsdale;AZ;Light
107;10/3/97 21:30;Waco;TX;Light
108;10/3/97 21:00;Jim Thorpe;PA;Oval
109;10/2/97 14:00;Los Angeles (Malibu Beach);CA;Sphere
110;10/2/97 02:00;Ringgold;GA;Circle
111;10/1/97 22:00;Summerville;SC;Triangle
112;10/1/97 21:55;Martinsville;VA;Other
113;10/1/97 21:30;Oakland;OR;Light
114;10/1/97 21:30;Bourbonnais;IL;Triangle
115;10/1/97 21:00;Hyannis;MA;Triangle
116;10/1/97 19:00;Pelzer;SC;Triangle
117;10/1/97 19:00;Green Bay;WI;Light
118;10/1/97 09:00;Charlotte;NC;Cigar
119;10/1/97 08:00;Oregon (rural);OR;Rectangle
120;10/1/97 03:00;Jefferson;NY;Other
